"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"365","hierarchical",14,"13",109,119,0.377663541271446,97,119.5,1,3,500
"366","independent",15,"1",120,129,0.324239179835844,102,129,0,-1,9500
"367","independent",15,"2",119,129,0.316728516120178,101,129,0,0,8750
"368","independent",15,"3",118,128,0.323233356080207,112,128,0,0,8000
"369","independent",15,"4",117,124,0.334353618274245,105,126,0,-3,7250
"370","independent",15,"5",117,125,0.343547437797129,106,126,1,-1,6500
"371","independent",15,"6",115,126,0.321252238213527,98,126,0,1,5750
"372","independent",15,"7",113,126,0.282927340785731,107,125,-1,2,5000
"373","independent",15,"8",113,123,0.309593803013949,100,123,0,0,4250
"374","independent",15,"9",112,121,0.382230480737868,97,122,0,-1,3500
"375","independent",15,"10",111,120,0.386590108641337,100,121,0,-1,2750
"376","independent",15,"11",108,122,0.349795573983017,104,122,-2,2,2000
"377","independent",15,"12",110,122,0.335292075148455,106,120.5,1,3,1250
"378","independent",15,"13",106,120,0.289056739858606,105,119,-2,2,500
"379","hierarchical",15,"1",120,129,0.320544453074814,102,129,0,1,9500
"380","hierarchical",15,"2",119,128,0.321297522254401,101,129,0,1,8750
"381","hierarchical",15,"3",118,127,0.321608622823797,112,128,0,1,8000
"382","hierarchical",15,"4",117,126,0.322353562490517,105,126,0,1,7250
