"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"315","independent",13,"2",133,140,0.133230374740634,121,143,0,-1,8750
"316","independent",13,"3",132,139,0.12684693036889,121,143,0,-1,8000
"317","independent",13,"4",132,139,0.144301942910223,122,142,1,0,7250
"318","independent",13,"5",130,137,0.142935071328768,124,138,0,-1,6500
"319","independent",13,"6",130,137,0.120245755995818,123,140,1,0,5750
"320","independent",13,"7",128,134,0.129702903517423,119,139,0,-2,5000
"321","independent",13,"8",127,134,0.122170975280652,124,138,0,-1,4250
"322","independent",13,"9",126,136,0.107645747703702,119,137.5,0,2,3500
"323","independent",13,"10",125,132,0.152732185309818,119,133,0,-1,2750
"324","independent",13,"11",124,131,0.173670632224952,121,133,0,-1,2000
"325","independent",13,"12",119,129,0.0769995472642452,120,139,-4,-2,1250
"326","independent",13,"13",125,152,0.114916390472783,126,140,3,22,500
"327","hierarchical",13,"1",133,140,0.13145683441473,125,145,-1,-2,9500
"328","hierarchical",13,"2",133,140,0.134290628238317,121,143,0,-1,8750
"329","hierarchical",13,"3",132,139,0.135140373227894,121,143,0,-1,8000
"330","hierarchical",13,"4",131,138,0.133682718956627,122,142,0,-1,7250
"331","hierarchical",13,"5",130,138,0.131330339545579,124,138,0,0,6500
"332","hierarchical",13,"6",129,137,0.128896713973472,123,140,0,0,5750
"333","hierarchical",13,"7",128,136,0.126727338600288,119,139,0,0,5000
"334","hierarchical",13,"8",127,135,0.125748661137087,124,138,0,0,4250
"335","hierarchical",13,"9",126,134,0.126730667196518,119,137.5,0,0,3500
"336","hierarchical",13,"10",125,133,0.130001061143121,119,133,0,0,2750
"337","hierarchical",13,"11",124,132,0.135417951601713,121,133,0,0,2000
"338","hierarchical",13,"12",123,131,0.142345497929639,120,139,0,0,1250
"339","hierarchical",13,"13",122,130,0.149582837514813,126,140,0,0,500
"340","independent",14,"1",134,141,0.117764276647479,124,146,0,-1,9500
"341","independent",14,"2",133,141,0.1143494412058,128,144,0,0,8750
"342","independent",14,"3",131,139,0.121460795298005,125,142.5,-1,-1,8000
"343","independent",14,"4",130,138,0.114671863264233,125,142,-1,-1,7250
"344","independent",14,"5",129,138,0.10607542639641,123,142,-1,0,6500
"345","independent",14,"6",129,136,0.122789323610637,124,140,0,-1,5750
"346","independent",14,"7",128,137,0.119317733012768,123,140,0,1,5000
"347","independent",14,"8",127,134,0.155929291718735,115,137,0,-1,4250
"348","independent",14,"9",126,135,0.145024985691513,121,137.5,0,1,3500
"349","independent",14,"10",123,131,0.115994570855881,118,135,-2,-2,2750
"350","independent",14,"11",124,132,0.11013216576398,121,136,0,0,2000
"351","independent",14,"12",117,127,0.108161714510278,116,133,-6,-4,1250
"352","independent",14,"13",115,130,0.0876483681825794,118,134.5,-7,0,500
"353","hierarchical",14,"1",133,139,0.107850331461566,124,146,-1,-3,9500
"354","hierarchical",14,"2",132,139,0.116775535440414,128,144,-1,-2,8750
"355","hierarchical",14,"3",131,138,0.122732208011163,125,142.5,-1,-2,8000
"356","hierarchical",14,"4",131,138,0.125372621516815,125,142,0,-1,7250
"357","hierarchical",14,"5",130,137,0.126414428829855,123,142,0,-1,6500
"358","hierarchical",14,"6",129,136,0.125842523736253,124,140,0,-1,5750
"359","hierarchical",14,"7",128,135,0.124715259553446,123,140,0,-1,5000
"360","hierarchical",14,"8",127,134,0.124196359332233,115,137,0,-1,4250
"361","hierarchical",14,"9",126,133,0.125353931588218,121,137.5,0,-1,3500
"362","hierarchical",14,"10",124,133,0.129019514864448,118,135,-1,0,2750
"363","hierarchical",14,"11",123,132,0.135506677177827,121,136,-1,0,2000
"364","hierarchical",14,"12",122,131,0.144933509153779,116,133,-1,0,1250
"365","hierarchical",14,"13",121,130,0.15698574799843,118,134.5,-1,0,500
"366","independent",15,"1",134,142,0.133300395513393,126,144,0,0,9500
"367","independent",15,"2",133,140,0.126605836591086,125,142,0,-1,8750
"368","independent",15,"3",130,137,0.142730759802364,125,140,-2,-3,8000
"369","independent",15,"4",131,138,0.150151058335653,124,142,0,-1,7250
"370","independent",15,"5",131,138,0.12604764280225,128,140.5,1,0,6500
"371","independent",15,"6",130,137,0.127099532437148,120,140,1,0,5750
"372","independent",15,"7",129,136,0.144955195002515,118,139,1,0,5000
"373","independent",15,"8",126,133,0.0934405788904029,117,140.5,-1,-2,4250
"374","independent",15,"9",126,132,0.144161313717963,123,135.5,0,-2,3500
